feature,exp1_importance,exp3_importance,delta,interpretation
tfidf_있어서 만족스러운,0.0,0.0,0.0,일반적 변동
tfidf_있어서,0.0,0.0,0.0,일반적 변동
tfidf_있게 다시,0.0,0.0,0.0,일반적 변동
tfidf_있게,0.0,0.0,0.0,일반적 변동
tfidf_오랜만에,0.0,0.0,0.0,일반적 변동
tfidf_이번에,0.0,0.0,0.0,일반적 변동
tfidf_음식,0.0,0.0,0.0,일반적 변동
tfidf_은근 기억에,0.0,0.0,0.0,일반적 변동
tfidf_은근,0.0,0.0,0.0,일반적 변동
tfidf_쓰기,0.0,0.0,0.0,일반적 변동
tfidf_요즘,0.0,0.0,0.0,일반적 변동
tfidf_이렇게,0.0,0.0,0.0,일반적 변동
tfidf_않고,0.0,0.0,0.0,일반적 변동
tfidf_없이 즐길,0.0,0.0,0.0,일반적 변동
tfidf_여유 있게,0.0,0.0,0.0,일반적 변동
tfidf_즐길 있을,0.0,0.0,0.0,일반적 변동
tfidf_짧게 들렀지만,0.0,0.0,0.0,일반적 변동
tfidf_즐길 있어서,0.0,0.0,0.0,일반적 변동
tfidf_즐길,0.0,0.0,0.0,일반적 변동
tfidf_좋은,0.0,0.0,0.0,일반적 변동
tfidf_좋았어요,0.0,0.0,0.0,일반적 변동
tfidf_좋게 마무리할,0.0,0.0,0.0,일반적 변동
tfidf_좋게,0.0,0.0,0.0,일반적 변동
tfidf_조금 여유,0.0,0.0,0.0,일반적 변동
tfidf_자주,0.0,0.0,0.0,일반적 변동
tfidf_가볍게,0.0,0.0,0.0,일반적 변동
tfidf_점이 마음에,0.0,0.0,0.0,일반적 변동
tfidf_정도는,0.0,0.0,0.0,일반적 변동
tfidf_전체적으로 무난하면서도,0.0,0.0,0.0,일반적 변동
tfidf_있지만,0.0,0.0,0.0,일반적 변동
llm_style_count,0.0,0.0,0.0,일반적 변동
tfidf_오늘은,0.0,0.0,0.0,일반적 변동
tfidf_2020년,0.0,0.0,0.0,일반적 변동
tfidf_가격도,0.0,0.0,0.0,일반적 변동
tfidf_후기,0.0,0.0,0.0,일반적 변동
tfidf_하루,0.0,0.0,0.0,일반적 변동
tfidf_처음 가보는,0.0,0.0,0.0,일반적 변동
tfidf_처음엔,0.0,0.0,0.0,일반적 변동
tfidf_천천히,0.0,0.0,0.0,일반적 변동
tfidf_크게,0.0,0.0,0.0,일반적 변동
tfidf_편하게,0.0,0.0,0.0,일반적 변동
tfidf_편하게 즐길,0.0,0.0,0.0,일반적 변동
tfidf_편한,0.0,0.0,0.0,일반적 변동
tfidf_크게 부담,0.0,0.0,0.0,일반적 변동
tfidf_있을 같아요,0.0,0.0,0.0,일반적 변동
tfidf_11,0.0,0.0,0.0,일반적 변동
