feature,mean_abs_shap
tfidf_음식도,0.0
tfidf_음식도 깔끔하게,0.0
tfidf_좋게,0.0
tfidf_좋게 마무리할,0.0
tfidf_좋았어요,0.0
tfidf_좋았어요 음식도,0.0
tfidf_좋은,0.0
tfidf_즐길,0.0
tfidf_즐길 있어서,0.0
tfidf_즐길 있을,0.0
tfidf_지나고,0.0
tfidf_지나고 보니,0.0
tfidf_직접,0.0
tfidf_직접 해보니,0.0
tfidf_편해서 좋았어요,0.0
tfidf_짧게 들렀지만,0.0
tfidf_찍었는데,0.0
tfidf_찍었는데 정리는,0.0
tfidf_찾기,0.0
tfidf_편해서,0.0
tfidf_찾기 쉬운,0.0
tfidf_처음 가보는,0.0
tfidf_편한,0.0
tfidf_편하게 즐길,0.0
tfidf_천천히,0.0
tfidf_천천히 정리하니,0.0
tfidf_편하게,0.0
tfidf_크게 부담,0.0
tfidf_크게 부담스럽지,0.0
tfidf_편이다,0.0
tfidf_특별하진,0.0
tfidf_조용한 느낌은,0.0
tfidf_조용한,0.0
tfidf_조금 여유,0.0
tfidf_있었네 싶었다,0.0
tfidf_필요한,0.0
tfidf_특별한,0.0
tfidf_음식은,0.0
tfidf_이런,0.0
tfidf_이런 곳도,0.0
tfidf_일정치고는,0.0
tfidf_일정치고는 나쁘지,0.0
tfidf_있게,0.0
tfidf_있게 다시,0.0
tfidf_있어서,0.0
tfidf_있어서 만족스러운,0.0
tfidf_있어서 조용한,0.0
tfidf_있었네,0.0
tfidf_있었어요,0.0
tfidf_정한 일정치고는,0.0
tfidf_시간을,0.0
tfidf_있을 같아요,0.0
tfidf_자주,0.0
tfidf_잠깐,0.0
tfidf_전체적으로,0.0
tfidf_전체적으로 무난하면서도,0.0
tfidf_점이,0.0
tfidf_점이 마음에,0.0
tfidf_정도,0.0
tfidf_정도는,0.0
tfidf_정리는,0.0
tfidf_정리는 나중에,0.0
tfidf_정한,0.0
tfidf_시간을 보냈어요,0.0
tfidf_가격도,0.0
tfidf_시간 맞으면,0.0
tfidf_기록용,0.0
tfidf_나중에 해야겠다,0.0
tfidf_나중에,0.0
tfidf_나와서 부담,0.0
tfidf_나와서,0.0
tfidf_나오는,0.0
tfidf_나쁘지 않았다,0.0
tfidf_나쁘지,0.0
tfidf_깔끔했고,0.0
tfidf_깔끔하게 나와서,0.0
tfidf_깔끔하게,0.0
tfidf_기준으로는,0.0
tfidf_기억은 남는,0.0
tfidf_기억은,0.0
tfidf_기억에 오래,0.0
tfidf_기억에,0.0
tfidf_남겨두기에도,0.0
tfidf_남겨두기에도 괜찮아서,0.0
tfidf_남겨둠,0.0
tfidf_너무 과하지,0.0
tfidf_다녀왔는데,0.0
tfidf_느낌입니다,0.0
tfidf_느낌은 아니었음,0.0
tfidf_느낌은,0.0
tfidf_느낌,0.0
tfidf_너무 시끄럽지,0.0
tfidf_너무,0.0
tfidf_남김,0.0
tfidf_낮추고 가면,0.0
tfidf_낮추고,0.0
tfidf_남을 같아요,0.0
tfidf_남을,0.0
tfidf_남는 편이다,0.0
tfidf_남는,0.0
tfidf_기분 좋게,0.0
tfidf_기대치를 낮추고,0.0
tfidf_다른,0.0
tfidf_기대치를,0.0
tfidf_개인적으로는 너무,0.0
tfidf_개인적으로는,0.0
tfidf_같아서,0.0
tfidf_강남역,0.0
tfidf_가볼 만했답니다,0.0
tfidf_가볼,0.0
tfidf_가보는 분들도,0.0
tfidf_가보는,0.0
tfidf_가보고 싶어요,0.0
tfidf_가보고,0.0
tfidf_가볍게,0.0
tfidf_가면 무난한,0.0
tfidf_가면 들러보고,0.0
tfidf_가격은 싸진,0.0
tfidf_가격은,0.0
tfidf_계속,0.0
tfidf_곳도,0.0
tfidf_곳도 있었네,0.0
tfidf_그냥 기록용,0.0
tfidf_기대보다 편하게,0.0
tfidf_기대,0.0
tfidf_급하게 정한,0.0
tfidf_급하게,0.0
tfidf_근처 가면,0.0
tfidf_근처,0.0
tfidf_괜찮았다,0.0
tfidf_과하지 않은,0.0
tfidf_괜찮았고 다음에,0.0
tfidf_괜찮았고,0.0
tfidf_괜찮아서 기억에,0.0
tfidf_괜찮아서,0.0
tfidf_괜찮고,0.0
tfidf_관련해서,0.0
tfidf_다녀왔는데 생각보다,0.0
tfidf_다른 메뉴도,0.0
tfidf_시간,0.0
tfidf_메뉴도 봐야,0.0
tfidf_분위기가,0.0
tfidf_분들도 크게,0.0
tfidf_분들도,0.0
tfidf_부담스럽지 않아서,0.0
tfidf_부담스럽지,0.0
tfidf_부담 없이,0.0
tfidf_부담,0.0
tfidf_봐야,0.0
tfidf_보냈어요,0.0
tfidf_번쯤 들를만함,0.0
tfidf_번쯤,0.0
tfidf_무난했고,0.0
tfidf_무난한 정도,0.0
tfidf_무난한,0.0
tfidf_무난하면서도 기분,0.0
tfidf_분위기가 너무,0.0
tfidf_분위기가 편해서,0.0
tfidf_빨리,0.0
tfidf_생각보다 시간이,0.0
tfidf_쉬운,0.0
tfidf_수도,0.0
tfidf_손이 자주,0.0
tfidf_생각이 많았는데,0.0
tfidf_생각이,0.0
tfidf_가격도 크게,0.0
tfidf_생각보다 분위기가,0.0
tfidf_사람이,0.0
tfidf_사진은 찍었는데,0.0
tfidf_사진은,0.0
tfidf_사진으로 남겨두기에도,0.0
tfidf_사진으로,0.0
tfidf_사진,0.0
tfidf_사람이 있어서,0.0
tfidf_무난하면서도,0.0
tfidf_메뉴도,0.0
tfidf_다시 가보고,0.0
tfidf_메뉴가,0.0
tfidf_딱히 특별하진,0.0
tfidf_딱히,0.0
tfidf_들었어요,0.0
tfidf_들를만함,0.0
tfidf_들러보고 싶더라고요,0.0
tfidf_들러보고,0.0
tfidf_대표 메뉴가,0.0
tfidf_대표,0.0
tfidf_단점은,0.0
tfidf_다음엔 다른,0.0
tfidf_다음엔,0.0
tfidf_다음에는 조금,0.0
tfidf_다음에는,0.0
tfidf_다음에 근처,0.0
tfidf_다음에,0.0
tfidf_때문에,0.0
tfidf_때문에 생각이,0.0
tfidf_마무리할,0.0
tfidf_만족스러운 시간이었답니다,0.0
tfidf_먹기 괜찮았고,0.0
tfidf_먹기,0.0
tfidf_맞으면 번쯤,0.0
tfidf_맞으면,0.0
tfidf_맛은,0.0
tfidf_맛도,0.0
tfidf_만족스러운,0.0
tfidf_마무리할 있었어요,0.0
tfidf_만족도가,0.0
tfidf_막상,0.0
tfidf_마음에 들었어요,0.0
tfidf_마음에,0.0
tfidf_마음도 조금,0.0
tfidf_마음도,0.0
tfidf_생각보다 알차게,0.0
