title,category,content_raw,content_clean,is_ai,char_count,raw_length,sentence_count,avg_sentence_len,sentence_len_std,total_tokens,noun_count,verb_count,adjective_count,adverb_count,josa_count,noun_ratio,verb_ratio,adjective_ratio,adverb_ratio,josa_ratio,noun_density,josa_density,friendly_ending_count,llm_style_count,period_count,exclamation_count,question_count,tilde_count,punctuation_ratio
강남역맛집 : 어글리스토브!,맛집_리뷰,안녕하세요~ 여러분 2020년 새해가 밝았네요~ 여러분은 2019년도에 원하던 일을 다 이루셨나요?... 그래서 강남역 양식 맛집을 검색해보니 강남역맛집 어글리스토브라는 곳이 나왔습니다. 블로그리뷰도 굉장히... ,안녕하세요~ 여러분 2020년 새해가 밝았네요~ 여러분은 2019년도에 원하던 일을 다 이루셨나요?. 그래서 강남역 양식 맛집을 검색해보니 강남역맛집 어글리스토브라는 곳이 나왔습니다. 블로그리뷰도 굉장히.,0,93,114,3,31.0,14.974051630144134,40,16,4,3,2,7,0.4,0.1,0.075,0.05,0.175,0.17204301075268819,0.07526881720430108,1,0,3,0,1,2,0.06451612903225806
[강남역 맛집/강남역 초밥] 갓덴스시 강남점,맛집_리뷰,"1.0 방문일자 : 2019년 3월 22일 2.0 음식점 명 : 갓덴스시 강남점 3.0 메뉴 : 초밥 1,500~ 3.1 접시당(색상별) 1... 당사자인 그 형의 추천 맛집인 강남역 갓덴스시로 향했다. 역시 인기가 많아서 그런지 약 30분 정도... ",1.0 방문일자 2019년 3월 22일 2.0 음식점 명 갓덴스시 강남점 3.0 메뉴 초밥 1 500~ 3.1 접시당 색상별 1. 당사자인 그 형의 추천 맛집인 강남역 갓덴스시로 향했다. 역시 인기가 많아서 그런지 약 30분 정도.,0,96,129,7,13.714285714285714,6.518419740885619,52,26,1,2,0,5,0.5,0.019230769230769232,0.038461538461538464,0.0,0.09615384615384616,0.2708333333333333,0.052083333333333336,0,0,7,0,0,1,0.08333333333333333
"[강남역 맛집] 소고기 제대로 맛보기 , 창고43 강남점",맛집_리뷰,"스튜디오 엠엠입니다^^ 벌써 작년이 되어버린 2019년, 친구 생일파티 겸 모임으로 강남역의 소고기 전문점 '창고 43'에 방문했던 날입니다. 02-508-0043 서울 강남구 강남대로 362 [지번]역삼동 826-20 대륭강남타워... ",스튜디오 엠엠입니다 벌써 작년이 되어버린 2019년 친구 생일파티 겸 모임으로 강남역의 소고기 전문점 창고 43 에 방문했던 날입니다. 02 508 0043 서울 강남구 강남대로 362 지번 역삼동 826 20 대륭강남타워.,0,96,125,2,48.0,10.0,43,23,3,1,0,5,0.5348837209302325,0.06976744186046512,0.023255813953488372,0.0,0.11627906976744186,0.23958333333333334,0.052083333333333336,0,0,2,0,0,0,0.020833333333333332
"라온위즈 9월, 본부팀의 강남역 맛집탐방",맛집_리뷰,"우선 강남역점 갔는데, 날씨도 좋고 하니 바깥에 테이블에 앉아서 같이 먹었어요! 계란말이는 넘 넘... 맛으로, 즐겁게 먹고 9월도 마무리!~! 이제 벌써 10월이고, 2019년이 3개월 남았네요! 다들 우리 화이팅합시다 !!",우선 강남역점 갔는데 날씨도 좋고 하니 바깥에 테이블에 앉아서 같이 먹었어요! 계란말이는 넘 넘. 맛으로 즐겁게 먹고 9월도 마무리!~! 이제 벌써 10월이고 2019년이 3개월 남았네요! 다들 우리 화이팅합시다 !,0,92,120,6,15.333333333333334,10.176225014982498,45,15,9,2,2,5,0.3333333333333333,0.2,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.16304347826086957,0.05434782608695652,1,0,1,5,0,1,0.07608695652173914
강남 맛집 / 강남역 맛집 / 강남 일식 / 강남 복요리 &quot;강남 복... ,맛집_리뷰,블루리본 서베이 2015 &amp; 2017 &amp; 2019년 서울의 맛집 &quot;강남 복 칼국수&quot;!!! 한국판 미쉐린 가이드 블루서베이 맛집 강남 일식 &quot;강남복칼국수&quot;!!! 2015년 리본 1개 다시 방문해도 손색없는 곳!!! 2017년 리본 2개 주변인이나... ,블루리본 서베이 2015 2017 2019년 서울의 맛집 강남 복 칼국수! 한국판 미쉐린 가이드 블루서베이 맛집 강남 일식 강남복칼국수! 2015년 리본 1개 다시 방문해도 손색없는 곳! 2017년 리본 2개 주변인이나.,0,95,123,4,23.75,6.378675411086537,44,27,1,1,0,3,0.6136363636363636,0.022727272727272728,0.022727272727272728,0.0,0.06818181818181818,0.28421052631578947,0.031578947368421054,0,0,1,3,0,0,0.042105263157894736
[강남역 맛집/기념일 데이트] 마키노차야 역삼점 디너 25... ,맛집_리뷰,"받았답니당 :D (2019년 2월 기준) 정가 49,900원에서 25% 할인받아 1인 37,400원에 다녀왔어요! 네이버에 후기가 많이 없는거같아 할인정보 공유드렸습니다 ^_^ (뿌듯) 주소 서울 강남구 테헤란로8길 8 지번서울... ",받았답니당 D 2019년 2월 기준 정가 49 900원에서 25 할인받아 1인 37 400원에 다녀왔어요! 네이버에 후기가 많이 없는거같아 할인정보 공유드렸습니다 뿌듯 주소 서울 강남구 테헤란로8길 8 지번서울.,0,92,118,2,46.0,0.0,41,17,4,2,1,2,0.4146341463414634,0.0975609756097561,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.18478260869565216,0.021739130434782608,0,0,1,1,0,0,0.021739130434782608
강남역 맛집/더치맥앤펍(The CHIMAC and Pub),맛집_리뷰,2019년 1월 19일 토요일 저녁의 강남은 어떤 모습일까. 궁금해하며 정~~~~~말 오랜만에 주말 저녁 강남으로 나갔다. 온라인 카페에서 잡은 약속 장소는 '더치맥앤펍(The CHIMAC and Pub)' 이런 곳에 얼마 만에... ,2019년 1월 19일 토요일 저녁의 강남은 어떤 모습일까. 궁금해하며 정~말 오랜만에 주말 저녁 강남으로 나갔다. 온라인 카페에서 잡은 약속 장소는 더치맥앤펍 The CHIMAC and Pub 이런 곳에 얼마 만에.,0,93,121,3,31.0,8.524474568362947,44,18,3,3,0,8,0.4090909090909091,0.06818181818181818,0.06818181818181818,0.0,0.18181818181818182,0.1935483870967742,0.08602150537634409,0,0,3,0,0,1,0.043010752688172046
꼴라주바캉스/ 케이스 덕후의 아이폰11케이스 (feat.내돈내산),상품_리뷰,"새 #아이폰케이스 를 구매해서 리뷰 준비해봤어요! Collage Vacance Logo Alphabet colorful case (Hard) (19,000원)... ㅎ 제가 주매한 로고 #아이폰11케이스 는 유광의 얇은 하드케이스 재질인데 ✔️가볍고 얇아서 그립감도... ",새 를 구매해서 리뷰 준비해봤어요! Collage Vacance Logo Alphabet colorful case Hard 19 000원 . 제가 주매한 로고 는 유광의 얇은 하드케이스 재질인데 가볍고 얇아서 그립감도.,0,97,122,3,32.333333333333336,13.888444437333106,37,12,5,3,0,4,0.32432432432432434,0.13513513513513514,0.08108108108108109,0.0,0.10810810810810811,0.12371134020618557,0.041237113402061855,1,0,2,1,0,0,0.030927835051546393
아이폰 11 Pro Max/ 아이폰 6s와 비교(내돈내산 개봉기),상품_리뷰,드디어 아이폰 11 Pro 구입했어요! 256기가라 사진도 넉넉하게 저장해서 좋고요. 광각렌즈와 줌렌즈까지 세 개의 렌즈가 열일하는 카메라가 장착된 아이폰입니다. 얼마 전에 남편이 먼저 구입한 아이폰 11 Pro... ,드디어 아이폰 11 Pro 구입했어요! 256기가라 사진도 넉넉하게 저장해서 좋고요. 광각렌즈와 줌렌즈까지 세 개의 렌즈가 열일하는 카메라가 장착된 아이폰입니다. 얼마 전에 남편이 먼저 구입한 아이폰 11 Pro.,0,93,119,4,23.25,6.417748826496718,49,20,3,3,1,10,0.40816326530612246,0.061224489795918366,0.061224489795918366,0.02040816326530612,0.20408163265306123,0.21505376344086022,0.10752688172043011,1,0,3,1,0,0,0.043010752688172046
블로그의 기본은 사진이다. 아이폰11 내돈내산 언박싱 후기,상품_리뷰,카메라가 3개나 있는 아이폰11PRO의 경우 50만원 이상 차이가 나기 때문에 최종 11로 낙점!! 열자마자 이어폰을 보고 앗! 아이팟을 주나보다 하고 놀라는 분들이 계실까봐 상세샷을 찍어본다. 포장 사이에 유선이... ,카메라가 3개나 있는 아이폰11PRO의 경우 50만원 이상 차이가 나기 때문에 최종 11로 낙점! 열자마자 이어폰을 보고 앗! 아이팟을 주나보다 하고 놀라는 분들이 계실까봐 상세샷을 찍어본다. 포장 사이에 유선이.,0,92,119,4,23.0,13.360389215887388,50,22,5,2,0,10,0.44,0.1,0.04,0.0,0.2,0.2391304347826087,0.10869565217391304,0,0,2,2,0,0,0.043478260869565216
"아이폰 11pro 케이스 추천... 케이스 할인 팁, 내돈내산 후기!",상품_리뷰,디자인스킨 아이폰 11pro 케이스 추천 내돈내산 후기 맞음. 믿어주세야. 아무튼 제가 요번에 구매한 아이폰 11pro 케이스는 바로 요것 스페이스 글로샌드 그래픽 케이스! 요새는 핸드폰케이스도 레트로 감성의... ,디자인스킨 아이폰 11pro 케이스 추천 내돈내산 후기 맞음. 믿어주세야. 아무튼 제가 요번에 구매한 아이폰 11pro 케이스는 바로 요것 스페이스 글로샌드 그래픽 케이스! 요새는 핸드폰케이스도 레트로 감성의.,0,92,117,4,23.0,13.24764129949177,45,24,2,0,1,7,0.5333333333333333,0.044444444444444446,0.0,0.022222222222222223,0.15555555555555556,0.2608695652173913,0.07608695652173914,0,0,3,1,0,0,0.043478260869565216
"E6300 / 내돈내산 / 구독자... 키보드 / 아이폰,아이패드... ",상품_리뷰,총정리 내돈내산 / Rapoo E6300 얼마나 작은 키보드길래!! Rapoo 제품은 첨 써봐서 잘 모르는 브랜드일 수... 세계에서 가장 얇은 5.6mm 랍니다~ 오른쪽보면 나오지만 아이패드 아이폰 전용 키보드입니다... ,총정리 내돈내산 Rapoo E6300 얼마나 작은 키보드길래! Rapoo 제품은 첨 써봐서 잘 모르는 브랜드일 수. 세계에서 가장 얇은 5.6mm 랍니다~ 오른쪽보면 나오지만 아이패드 아이폰 전용 키보드입니다.,0,92,117,4,23.0,8.306623862918075,46,19,6,3,1,3,0.41304347826086957,0.13043478260869565,0.06521739130434782,0.021739130434782608,0.06521739130434782,0.20652173913043478,0.03260869565217391,0,0,3,1,0,1,0.05434782608695652
&quot;아이폰11프로&quot; 홍콩판 직구 내돈내산 솔직후기! / 언박싱,상품_리뷰,IPHONE 11 PRO 홍콩판 제품명 : 아이폰11프로 / Iphone11Pro 홍콩버전 색상 : 실버 용량 : 256GB 구매처 : 큐텐... 준 #내돈내산 솔직리뷰 입니다. 홍콩판 아이폰 구매대행 하시는 분들께 조금이나마 도움이 되길 바라며... ,IPHONE 11 PRO 홍콩판 제품명 아이폰11프로 Iphone11Pro 홍콩버전 색상 실버 용량 256GB 구매처 큐텐. 준 솔직리뷰 입니다. 홍콩판 아이폰 구매대행 하시는 분들께 조금이나마 도움이 되길 바라며.,0,95,120,3,31.666666666666668,19.22382780706162,45,24,3,1,0,3,0.5333333333333333,0.06666666666666667,0.022222222222222223,0.0,0.06666666666666667,0.25263157894736843,0.031578947368421054,0,0,3,0,0,0,0.031578947368421054
"내돈내산 아이폰11 pro max 실버(화이트) 개봉기, 아이폰 가격... ",상품_리뷰,"아이폰11 pro max 화이트 실제 후기 혀러분 갤럭시20과 아이폰11과의 고민 끝에 거거익선이라고..크고 제일 좋은 걸로 아이폰11 PRO MAX 플렉스 해버렸답니다:) 이렇게 비싼 휴대폰을 고르는 것도 처음, 아이폰도... ",아이폰11 pro max 화이트 실제 후기 혀러분 갤럭시20과 아이폰11과의 고민 끝에 거거익선이라고.크고 제일 좋은 걸로 아이폰11 PRO MAX 플렉스 해버렸답니다 이렇게 비싼 휴대폰을 고르는 것도 처음 아이폰도.,0,95,121,2,47.5,1.5,43,20,3,2,1,7,0.46511627906976744,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.16279069767441862,0.21052631578947367,0.07368421052631578,1,0,2,0,0,0,0.021052631578947368
&lt;아이폰 11 퍼플 64g&gt; 내돈내산 후기,상품_리뷰,"곧 아이폰 12가 출시되지만, 라이트 유저인 내게 100여만원이 넘을 아이폰 12는 쓰잘데기가..... 그래서 아이폰 11로 결정. 성지를 찾아 헤매다가 적절한 가격으로 기변. SKT를 계속 쓰는 이유는 하나. 댕댕이한테... ",곧 아이폰 12가 출시되지만 라이트 유저인 내게 100여만원이 넘을 아이폰 12는 쓰잘데기가. 그래서 아이폰 11로 결정. 성지를 찾아 헤매다가 적절한 가격으로 기변. SKT를 계속 쓰는 이유는 하나. 댕댕이한테.,0,92,119,5,18.4,12.043255373859678,49,19,9,1,1,7,0.3877551020408163,0.1836734693877551,0.02040816326530612,0.02040816326530612,0.14285714285714285,0.20652173913043478,0.07608695652173914,0,0,5,0,0,0,0.05434782608695652
아이폰11pro/ 김혜수 아르노 폰 스트랩/ 내돈내산후기,상품_리뷰,가격은 29000원인데 마침 SSF몰에도 입점되어서 할인하고 있길래 26000원대 구매했다 포장이 군더더기 없이 깔끔하게 왔다 포장되어있는 상태로는 굉장히 가벼웠다 내 폰은 아이폰11pro니까 포장지를 벗겨보면... ,가격은 29000원인데 마침 SSF몰에도 입점되어서 할인하고 있길래 26000원대 구매했다 포장이 군더더기 없이 깔끔하게 왔다 포장되어있는 상태로는 굉장히 가벼웠다 내 폰은 아이폰11pro니까 포장지를 벗겨보면.,0,96,118,1,96.0,0.0,40,13,8,4,1,6,0.325,0.2,0.1,0.025,0.15,0.13541666666666666,0.0625,0,0,1,0,0,0,0.010416666666666666
통큰준구씨 쇼핑몰 아이폰 케이스 추천 내돈내산,상품_리뷰,"아이폰 꾸미기 미러톡 13,900원 아이쉴드방탄 강화유리 11,900원 파스텔글라스케이스 17,900원 안녕하세요 블로거 찐탱이예요 :) 올릴건 너무너무 많은게 이상하게 요새 자꾸 후기만 쓰네용 내돈내산 후기입니다... ",아이폰 꾸미기 미러톡 13 900원 아이쉴드방탄 강화유리 11 900원 파스텔글라스케이스 17 900원 안녕하세요 블로거 찐탱이예요 올릴건 너무너무 많은게 이상하게 요새 자꾸 후기만 쓰네용 내돈내산 후기입니다.,0,93,117,1,93.0,0.0,42,19,4,4,3,2,0.4523809523809524,0.09523809523809523,0.09523809523809523,0.07142857142857142,0.047619047619047616,0.20430107526881722,0.021505376344086023,1,0,1,0,0,0,0.010752688172043012
호주 시드니 애플스토어에서 아이폰11(iPhone11) 화이트... ,상품_리뷰,"호주 시드니 애플스토어에서 아이폰11(iPhone11) 화이트 구매후기 언박싱 9월 초, 아이폰11, 11pro가... 클릭시 아이폰11 화이트 구매페이지로 이동합니다 내돈내산 후기이며, 파트너스 활동을 통해 일정액의... ",호주 시드니 애플스토어에서 아이폰11 iPhone11 화이트 구매후기 언박싱 9월 초 아이폰11 11pro가. 클릭시 아이폰11 화이트 구매페이지로 이동합니다 내돈내산 후기이며 파트너스 활동을 통해 일정액의.,0,94,116,2,47.0,3.0,46,24,2,0,0,5,0.5217391304347826,0.043478260869565216,0.0,0.0,0.10869565217391304,0.2553191489361702,0.05319148936170213,0,0,2,0,0,0,0.02127659574468085
[내돈내산]아이디얼오브스웨덴 아이폰11PRO케이스... ,상품_리뷰,IDEAL OF SWDEN 블랙프라이데이 직구하기 50%할인+20%추가할인 아이폰 11pro 케이스 갤럭시S10케이스 에어팟... 실물이 진짜 더 예쁜데 설명할길이 ㅠㅠ 여기서 내돈내산 후기를 끝 +덧 쓰면서 찾아보니 바로... ,IDEAL OF SWDEN 블랙프라이데이 직구하기 50 할인 20 추가할인 아이폰 11pro 케이스 갤럭시S10케이스 에어팟. 실물이 진짜 더 예쁜데 설명할길이 여기서 내돈내산 후기를 끝 덧 쓰면서 찾아보니 바로.,0,93,119,2,46.5,10.5,42,21,4,1,0,3,0.5,0.09523809523809523,0.023809523809523808,0.0,0.07142857142857142,0.22580645161290322,0.03225806451612903,0,0,2,0,0,0,0.021505376344086023
애플 정품 아이폰 실리콘 케이스 사용 후기 / 아이폰 11 pro... ,상품_리뷰,네이버 스토어팜에서 아이폰 케이스 공구 했어요  IPhon Slilcon Case 뜨끈뜨끈 case 색 대 존 예 원쁠원... 케이스 내돈내산ㅋㅋㅋ 예쁜 케이스를 찾아서 구입도 해주구 (네이버에 똑같은 케이스를 진짜 많이 판매... ,네이버 스토어팜에서 아이폰 케이스 공구 했어요 IPhon Slilcon Case 뜨끈뜨끈 case 색 대 존 예 원쁠원. 케이스 내돈내산 예쁜 케이스를 찾아서 구입도 해주구 네이버에 똑같은 케이스를 진짜 많이 판매.,0,92,120,2,46.0,6.0,44,20,7,2,1,4,0.45454545454545453,0.1590909090909091,0.045454545454545456,0.022727272727272728,0.09090909090909091,0.21739130434782608,0.043478260869565216,1,0,2,0,0,0,0.021739130434782608
(내돈내산) &lt;한달후기&gt; ‘아이몰’ 변색없는 아이폰 케이스 !!,상품_리뷰,"(내돈내산) 아이폰11 퍼플 기종을 쓰고 있는데용 뒷면 퍼플 색이 너무 예쁘잖아요 ~~ 그래서 보통 투명... 사실 투명케이스 치고는 가격이 좀 있었어요 18,900원+배송비 3,000원 = 21,900원이었습니당 11/5에 집에... ",내돈내산 아이폰11 퍼플 기종을 쓰고 있는데용 뒷면 퍼플 색이 너무 예쁘잖아요 ~ 그래서 보통 투명. 사실 투명케이스 치고는 가격이 좀 있었어요 18 900원 배송비 3 000원 21 900원이었습니당 11 5에 집에.,0,92,122,2,46.0,4.0,46,17,1,3,2,6,0.3695652173913043,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.13043478260869565,0.18478260869565216,0.06521739130434782,0,0,2,0,0,1,0.03260869565217391
아이폰11    신지모루  풀커버... 사용 후기 !!내돈내산 후기!!,상품_리뷰,"작년 10월 아이폰11을 구매하고 지금껏 7개월 이용한 신지모루 아이폰11 전면풀커버 액정이 깨졌다 책상 모서리에 2연타를 맞아 측면부 액정이 깨졌다 전에는 아이폰 6s를 사용했는데 다이소나 티몬에서 1,500... ",작년 10월 아이폰11을 구매하고 지금껏 7개월 이용한 신지모루 아이폰11 전면풀커버 액정이 깨졌다 책상 모서리에 2연타를 맞아 측면부 액정이 깨졌다 전에는 아이폰 6s를 사용했는데 다이소나 티몬에서 1 500.,0,92,118,1,92.0,0.0,50,25,4,0,0,10,0.5,0.08,0.0,0.0,0.2,0.2717391304347826,0.10869565217391304,0,0,1,0,0,0,0.010869565217391304
내돈내산 케이스티파이... 화려한 리사프랭크 아이폰케이스,상품_리뷰,"케이스티파이 아이폰케이스 협찬도 많이 뿌리는 케이스티파이지만 나는 내돈내산,, Lisa Frank x Casetify 리사프랭크 케이스티파이 콜라보 제품이다 키치하고 정신없는 디자인이 너무 귀엽다 테두리는 내가 고를... ",케이스티파이 아이폰케이스 협찬도 많이 뿌리는 케이스티파이지만 나는 내돈내산 Lisa Frank x Casetify 리사프랭크 케이스티파이 콜라보 제품이다 키치하고 정신없는 디자인이 너무 귀엽다 테두리는 내가 고를.,0,96,119,1,96.0,0.0,45,24,2,2,2,8,0.5333333333333333,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.17777777777777778,0.25,0.08333333333333333,0,0,1,0,0,0,0.010416666666666666
